,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,name,position,value,Goals_Assists,position_short,team_short,understat_ID,xG,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,Difficulty,Avg_Difficulty,GW,Opponents,Home_away
0,,,58822,0,0,0,0,0,2,2.4,2.4,0,Cédric,0.0,1,False,,,45,58822.jpg,0.0,Alves Soares,0.3,False,,a,Arsenal,3,0,728,728,3855,3855,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,342,146,338,143,276,111,358,146,2.0,,3.0,,,,Cédric Alves Soares Cédric,Defender,0.0,0,D,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
1,,,84450,0,0,0,0,0,3,2.1,2.1,2,Granit,2.0,3,False,,,50,84450.jpg,0.4,Xhaka,0.7,False,,a,Arsenal,3,2,4547,4547,5019,5019,0.4,0.4,Xhaka,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,98,32,81,52,167,90,123,65,,,,,,,Granit Xhaka Xhaka,Midfielder,0.4,0,M,ARS,204,0.0,0.04480058327317238,0.0,1.0,0.0,0.0,0.15145398676395416,0.10665339976549149,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
2,,,153256,0,0,0,0,0,3,1.5,1.5,0,Mohamed,0.0,4,False,,,45,153256.jpg,0.0,Elneny,1.0,False,,a,Arsenal,3,0,3229,3229,10908,10908,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,377,130,374,140,318,115,393,139,,,,,,,Mohamed Elneny Elneny,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
3,,,156074,0,0,0,0,0,2,2.4,2.4,0,Rob,0.0,5,False,,,45,156074.jpg,0.0,Holding,0.2,False,,a,Arsenal,3,0,310,310,2119,2119,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,380,167,379,164,323,137,396,167,,,,,,,Rob Holding Holding,Defender,0.0,0,D,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
4,,,167199,0,0,0,0,0,3,2.1,2.1,3,Thomas,3.0,6,False,,,50,167199.jpg,0.6,Partey,0.6,False,,a,Arsenal,3,3,6471,6471,4441,4441,0.6,0.6,Partey,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,61,23,95,58,96,57,85,48,,,4.0,,,,Thomas Partey Partey,Midfielder,0.6,0,M,ARS,2328,0.04902607202529907,0.05762733146548271,1.0,1.0,0.0,0.04902607202529907,0.266749769449234,0.21772368252277374,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
5,,,184029,0,0,0,0,0,3,2.8,2.8,3,Martin,3.0,7,False,,,65,184029.jpg,0.5,Ødegaard,13.9,False,,a,Arsenal,3,3,30015,30015,68575,68575,0.5,0.5,Ødegaard,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,220,96,116,68,52,29,119,64,3.0,,1.0,,,,Martin Ødegaard Ødegaard,Midfielder,0.5,0,M,ARS,2517,0.11073583364486694,0.0,2.0,0.0,0.0,0.11073583364486694,0.16009634733200073,0.09606436640024185,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
6,100.0,75.0,192895,0,0,0,0,0,2,2.8,2.1,1,Kieran,1.0,8,False,,2022-08-04T15:00:05.276574Z,50,192895.jpg,0.2,Tierney,1.2,False,,a,Arsenal,3,1,1419,1419,11208,11208,0.2,0.2,Tierney,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,195,85,249,88,486,199,245,88,,,,,,,Kieran Tierney Tierney,Defender,0.2,0,D,ARS,8089,0.0,0.0,0.0,0.0,0.0,0.0,0.05762733146548271,0.05762733146548271,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
7,,,195735,0,0,0,0,0,3,2.5,2.5,0,Nicolas,0.0,9,False,,,55,195735.jpg,0.0,Pépé,0.4,False,,a,Arsenal,3,0,1140,1140,5624,5624,0.0,0.0,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,537,233,545,236,534,231,546,237,,,2.0,,3.0,,Nicolas Pépé Pépé,Midfielder,0.0,0,M,ARS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
8,,,198869,0,0,0,0,0,2,2.4,2.4,5,Benjamin,5.0,10,False,,,45,198869.jpg,1.1,White,6.6,False,,a,Arsenal,3,5,16413,16413,20437,20437,1.1,1.1,White,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,36,10,99,32,346,149,90,24,,,,,,,Benjamin White White,Defender,1.1,0,D,ARS,7298,0.0,0.07888688892126083,0.0,1.0,0.0,0.0,0.07888688892126083,0.0,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
9,,,205533,0,0,0,0,0,4,2.7,2.7,1,Eddie,1.0,11,False,,,70,205533.jpg,0.1,Nketiah,0.8,False,,a,Arsenal,3,1,2440,2440,12055,12055,0.1,0.1,Nketiah,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,235,20,113,13,567,56,218,25,,,,,,,Eddie Nketiah Nketiah,Forward,0.1,0,F,ARS,6482,0.0,0.09606436640024185,0.0,1.0,0.0,0.0,0.15369169414043427,0.05762733146548271,"[3, 2, 2, 2]",2.25,"[2, 3, 4, 5]","['Leicester', 'Bournemouth', 'Fulham', 'Aston Villa']","['H', 'a', 'H', 'H']"
