,element,position,selling_price,multiplier,purchase_price,is_captain,is_vice_captain,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,name,value,Goals_Assists,position_short,team_short,understat_ID,xG,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,Difficulty,Avg_Difficulty,GW,Opponents,Home_away
0,254,Goalkeeper,40,1,40,False,False,0.0,0.0,95463,0,0,0,0,0,1,0.5,1.0,1,Danny,1.0,254,0,,0,40,95463.jpg,0.8,Ward,27.5,0,0,a,Leicester,13,3,399870,60748,134594,42522,0.2,0.8,Ward,270,0,0,0,8,0,0,0,0,0,6,0,34,44.8,0.0,0.0,4.5,123,16,339,15,279,14,239,16,0.0,,0.0,,0.0,,Danny Ward Ward,0.8,0,GK,LEI,473,0.0,0.0,0.0,0.0,0.0,0.0,0.15605277568101883,0.15605277568101883,"[4, 3, 2, 2]",2.75,"[4, 5, 6, 7]","['Chelsea', 'Man Utd', 'Brighton', 'Aston Villa']","['a', 'H', 'a', 'H']"
1,357,Defender,50,1,50,False,False,0.0,0.0,77794,1,-1,1,-1,0,2,6.7,5.7,6,Kieran,6.7,357,1,,0,51,77794.jpg,3.9,Trippier,24.2,0,0,a,Newcastle,4,20,718686,313692,341285,43509,1.3,3.9,Trippier,270,1,0,2,3,0,0,0,1,0,0,2,78,88.4,70.5,17.0,17.6,25,4,33,8,172,48,49,7,1.0,,1.0,,0.0,,Kieran Trippier Trippier,3.9,1,D,NEW,652,0.11759638413786888,0.17883357778191566,2.0,3.0,1.0,0.11759638413786888,0.3028050661087036,0.3028050661087036,"[2, 5, 2, 3]",3.0,"[4, 5, 6, 7]","['Wolves', 'Liverpool', 'Crystal Palace', 'West Ham']","['a', 'a', 'H', 'a']"
2,285,Defender,75,1,75,False,False,0.0,0.0,169187,0,0,0,0,0,2,2.8,1.8,0,Trent,1.3,285,0,,0,75,169187.jpg,0.5,Alexander-Arnold,49.3,0,0,a,Liverpool,14,4,189345,37188,760376,228243,0.2,0.5,Alexander-Arnold,270,0,0,0,5,0,0,0,1,0,0,1,49,51.0,138.5,47.0,23.7,103,37,4,1,76,12,22,2,1.0,,1.0,,0.0,,Trent Alexander-Arnold Alexander-Arnold,0.5,0,D,LIV,1791,0.1634779144078493,1.0033455658704042,5.0,8.0,0.0,0.1634779144078493,3.001226305961609,2.0298284888267517,"[2, 3, 2, 2]",2.25,"[4, 5, 6, 7]","['Bournemouth', 'Newcastle', 'Everton', 'Wolves']","['H', 'H', 'a', 'H']"
3,306,Defender,70,1,70,False,False,0.0,0.0,121145,0,0,1,-1,1,2,7.0,7.0,0,João,6.0,306,0,,0,71,121145.jpg,2.5,Cancelo,48.0,0,0,a,Man City,43,18,599963,99108,268674,92342,0.8,2.5,Cancelo,270,0,1,2,3,0,0,0,2,0,0,4,75,41.6,45.9,37.0,12.4,143,60,74,16,102,23,94,23,0.0,,0.0,,0.0,,João Cancelo Cancelo,2.5,1,D,MCI,2379,0.07850442454218864,0.1549064964056015,3.0,2.0,0.0,0.07850442454218864,1.7944174110889435,1.681521326303482,"[2, 2, 2, 3]",2.25,"[4, 5, 6, 7]","['Crystal Palace', ""Nott'm Forest"", 'Aston Villa', 'Spurs']","['H', 'H', 'a', 'H']"
4,146,Defender,60,1,60,False,False,0.0,0.0,225796,0,0,1,-1,0,2,5.5,6.0,1,Reece,5.0,146,0,,0,61,225796.jpg,2.5,James,43.6,0,0,a,Chelsea,8,15,753275,104289,378099,138409,0.8,2.5,James,270,1,0,1,5,0,0,0,2,0,0,3,73,86.8,85.3,53.0,22.5,29,7,15,4,60,6,27,3,3.0,,1.0,,0.0,,Reece James James,2.5,1,D,CHE,8067,0.56542157381773,0.6887038052082062,5.0,5.0,1.0,0.56542157381773,1.9288235306739807,1.4487159103155136,"[3, 2, 3, 2]",2.5,"[4, 5, 6, 7]","['Leicester', 'Southampton', 'West Ham', 'Fulham']","['H', 'a', 'H', 'a']"
5,295,Defender,40,1,40,False,False,0.0,0.0,215136,0,0,0,0,0,2,1.7,2.2,1,Neco,2.7,295,0,,0,40,215136.jpg,2.0,Williams,29.1,0,0,a,Nott'm Forest,17,8,518617,102357,268248,70082,0.7,2.0,N.Williams,270,0,0,1,3,0,0,0,2,0,0,1,38,78.8,90.6,82.0,25.2,36,11,13,3,35,2,16,1,1.0,,1.0,,0.0,,Neco Williams N.Williams,2.0,0,D,NFO,8204,0.8375800177454948,0.6447528004646301,8.0,5.0,0.0,0.8375800177454948,1.0863307863473892,0.18259326368570328,"[3, 5, 2, 2]",3.0,"[4, 5, 6, 7]","['Spurs', 'Man City', 'Bournemouth', 'Leeds']","['H', 'a', 'H', 'a']"
6,283,Midfielder,130,2,130,True,False,0.0,0.0,118748,0,0,0,0,1,3,8.8,7.8,8,Mohamed,7.3,283,0,,0,130,118748.jpg,1.7,Salah,60.0,0,0,a,Liverpool,14,22,369707,58693,352265,90300,0.6,1.7,Salah,270,2,1,0,5,0,0,0,0,0,0,3,62,102.2,154.8,130.0,38.7,14,7,2,2,10,5,4,3,0.0,,0.0,,2.0,,Mohamed Salah Salah,1.7,3,M,LIV,1250,1.0787720382213593,1.217595785856247,8.0,13.0,2.0,1.0787720382213593,2.9821892380714417,1.3816400840878487,"[2, 3, 2, 2]",2.25,"[4, 5, 6, 7]","['Bournemouth', 'Newcastle', 'Everton', 'Wolves']","['H', 'H', 'a', 'H']"
7,13,Midfielder,79,1,80,False,False,0.0,0.0,223340,-1,1,-1,1,0,3,4.7,4.7,3,Bukayo,3.7,13,0,,0,79,223340.jpg,1.4,Saka,15.6,0,0,a,Arsenal,3,11,173572,12638,721715,211747,0.5,1.4,Saka,260,0,1,2,2,0,0,0,0,0,0,0,40,27.6,81.4,67.0,17.6,200,79,21,15,48,32,50,33,2.0,,0.0,,1.0,,Bukayo Saka Saka,1.4,1,M,ARS,7322,0.35367974266409874,0.47152651846408844,5.0,5.0,0.0,0.35367974266409874,1.128564178943634,0.47211190313100815,"[2, 2, 4, 2]",2.5,"[4, 5, 6, 7]","['Fulham', 'Aston Villa', 'Man Utd', 'Everton']","['H', 'H', 'a', 'H']"
8,261,Midfielder,80,1,80,False,False,0.0,0.0,172780,0,0,0,0,0,3,5.8,6.3,7,James,6.3,261,0,,0,80,172780.jpg,2.4,Maddison,6.1,0,0,a,Leicester,13,19,227632,43917,144837,36953,0.8,2.4,Maddison,270,2,1,0,8,0,0,0,1,0,0,1,69,101.4,95.5,114.0,31.1,15,8,12,10,16,10,12,8,1.0,,1.0,,0.0,,James Maddison Maddison,2.4,3,M,LEI,6818,0.4948537051677704,0.1934775747358799,10.0,7.0,2.0,0.4948537051677704,0.5708779916167259,0.17260297387838364,"[4, 3, 2, 2]",2.75,"[4, 5, 6, 7]","['Chelsea', 'Man Utd', 'Brighton', 'Aston Villa']","['a', 'H', 'a', 'H']"
9,427,Forward,114,1,115,False,False,0.0,0.0,78830,0,0,-1,1,0,4,6.3,5.8,6,Harry,5.3,427,0,,0,114,78830.jpg,1.4,Kane,17.5,0,0,a,Spurs,6,16,245539,67300,1086930,48423,0.5,1.4,Kane,270,2,0,1,3,0,0,0,1,0,0,3,66,94.8,81.5,158.0,33.5,20,5,19,2,6,4,8,3,0.0,,1.0,,1.0,,Harry Kane Kane,1.4,2,F,TOT,647,1.8769007176160812,0.9917291700839996,9.0,7.0,2.0,1.8769007176160812,1.9202224612236023,0.44367557764053345,"[2, 3, 2, 5]",3.0,"[4, 5, 6, 7]","[""Nott'm Forest"", 'West Ham', 'Fulham', 'Man City']","['a', 'a', 'H', 'a']"
